Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"J106","X Light","PinHeader_1x02_P2.54mm_Vertical",127.500000,-72.100000,90.000000,top
"J107","B Light","PinHeader_1x02_P2.54mm_Vertical",135.500000,-72.100000,90.000000,top
"J108","O Light","PinHeader_1x02_P2.54mm_Vertical",143.500000,-72.100000,90.000000,top
"J109","X Light","PinHeader_1x02_P2.54mm_Vertical",151.500000,-72.100000,90.000000,top
"L201","10uH","L_TDK_NLV25_2.5x2.0mm",132.650000,-88.475000,0.000000,top
"L301","10uH","L_TDK_NLV25_2.5x2.0mm",136.600000,-80.900000,180.000000,top
"L401","10uH","L_TDK_NLV25_2.5x2.0mm",144.200000,-81.700000,90.000000,top
"L501","10uH","L_TDK_NLV25_2.5x2.0mm",153.625000,-80.900000,180.000000,top
"L601","10uH","L_TDK_NLV25_2.5x2.0mm",161.699999,-78.850000,90.000000,top
"R101","10k","R_0402_1005Metric",167.600000,-83.775000,0.000000,top
"R102","1k","R_0402_1005Metric",167.600000,-85.700000,180.000000,top
"R103","1k","R_0402_1005Metric",152.290000,-95.500000,0.000000,top
"R104","27","R_0402_1005Metric",154.375000,-88.775000,0.000000,top
"R105","27","R_0402_1005Metric",154.375000,-87.825000,0.000000,top
"R106","1k","R_0402_1005Metric",167.150000,-89.575000,90.000000,top
"R107","10k","R_0402_1005Metric",152.850000,-97.650000,90.000000,top
"R201","10","R_0402_1005Metric",136.075000,-91.275000,0.000000,top
"R301","10","R_0402_1005Metric",139.475000,-78.475000,0.000000,top
"R401","10","R_0402_1005Metric",147.625000,-78.400000,90.000000,top
"R501","10","R_0402_1005Metric",156.075000,-78.050000,90.000000,top
"R601","10","R_0402_1005Metric",165.150000,-75.325000,90.000000,top
"SW101","PTS636 SL43 SMTR LFS","SW-PUSH-6x3.5mm_CK-PTS636SL43x_HandSolder",171.924900,-83.875000,-90.000000,top
"SW102","PTS636 SL43 SMTR LFS","SW-PUSH-6x3.5mm_CK-PTS636SL43x_HandSolder",154.025000,-90.400000,180.000000,top
"U101","WL9005S5-33","SOT-23-5",148.950001,-97.150000,-90.000000,top
"U102","CM1213A−02Sx","SOT-143",140.800000,-91.375000,0.000000,top
"U103","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",162.400000,-87.700000,90.000000,top
"U104","W25Q40CLSNIG","SOIC-8_3.9x4.9mm_P1.27mm",156.025000,-95.175000,90.000000,top
"U201","RT4526","TSOT-23-6",136.750000,-88.961252,0.000000,top
"U301","RT4526","TSOT-23-6",136.850001,-77.562500,90.000000,top
"U401","RT4526","TSOT-23-6",145.425002,-77.562500,90.000000,top
"U501","RT4526","TSOT-23-6",153.875001,-77.562500,90.000000,top
"U601","RT4526","TSOT-23-6",162.950001,-74.712500,90.000000,top
"Y101","ABLS-12.000MHZ-B4-T","Crystal_SMD_HC49-SD",167.350000,-95.787500,0.000000,top
